canonical,crashes,observed,observed_in_cells,holdout,holdout_in_cells,coverage,cells_scored,length_ft,lanes,speed,is_highway,limited_access_share,n_units,spf_prediction,eb_weight,eb_estimate,eb_matched
BELT PKWY,9949,5936,5250.0,2537,2225.0,0.8844339622641509,279,357320.3617602004,2.269399707174231,40.62957540263543,1.0,0.75,683.0,3670.7378103053134,0.04050742219645182,5186.028159723144,True
BROADWAY,7581,3234,3133.0,1480,1367.0,0.968769325912183,470,173761.54373910473,2.6102635228848823,25.0,1.0,0.75,721.0,2754.607279906272,0.08656784596107014,3100.243357294136,True
GRAND CENTRAL PKWY,6475,3452,3029.0,1617,1420.0,0.8774623406720742,284,314854.6822524204,2.237971391417425,35.097529258777634,1.0,0.75,769.0,2515.5421912290503,0.059008501104595795,2998.7016243239764,True
LONG ISLAND EXPY,6374,3149,2961.0,1798,1677.0,0.9402985074626866,202,253373.973925332,2.2445820433436534,36.95046439628483,1.0,0.75,646.0,2015.6800683118008,0.05272861170509186,2911.154592384929,True
BROOKLYN QUEENS EXPY,6808,3400,2957.0,1743,1629.0,0.8697058823529412,179,145784.92806296883,2.2764084507042255,37.95774647887324,1.0,0.75,568.0,1915.9187859129152,0.04933396939079323,2905.6393312508976,True
ATLANTIC AVE,5917,2776,2708.0,1042,974.0,0.9755043227665706,219,118494.34714809705,2.395408163265306,25.0,1.0,0.75,392.0,924.8041142891329,0.11624360736362906,2500.714877608987,True
MAJOR DEEGAN EXPY,4718,2701,2293.0,1128,1040.0,0.8489448352462051,114,126963.44541136216,2.1381381381381384,38.73873873873874,1.0,0.75,333.0,1197.556288663661,0.05021971185343457,2237.987132465032,True
3 AVE,5117,2094,2042.0,877,829.0,0.9751671442215855,304,116802.8405739943,3.0775347912524853,26.11332007952286,1.0,0.75,503.0,2574.681993636826,0.06154670407706192,2074.784821029545,True
VAN WYCK EXPY,4985,2538,2110.0,1040,954.0,0.8313632781717888,141,200752.5010997765,2.2802653399668324,34.859038142620236,1.0,0.75,603.0,1185.8867209758537,0.06195036564627612,2052.750844465875,True
CROSS BRONX EXPY,5036,2424,2071.0,1119,1024.0,0.8543729372937293,146,147023.18593557234,2.3185840707964602,37.823008849557525,1.0,0.75,565.0,1633.5259347741062,0.047296264258794046,2050.309111004707,True
LINDEN BLVD,4021,2272,2113.0,915,830.0,0.9300176056338029,229,124950.72958978481,1.9641434262948207,25.0,1.0,0.75,502.0,815.9679409185654,0.1348620880412338,1938.079548255857,True
FLATBUSH AVE,4077,2010,1827.0,1033,941.0,0.908955223880597,146,62349.36066530327,3.65,26.96875,1.0,0.75,160.0,1631.1365834068736,0.04736226431588195,1817.7234650935047,True
CROSS ISLAND PKWY,4150,2050,1799.0,1031,956.0,0.8775609756097561,154,179550.31149295176,2.1844660194174756,36.650485436893206,1.0,0.75,412.0,1502.2613549900334,0.053872489483312705,1783.013950467408,True
FDR DR,5317,2579,2325.0,986,923.0,0.9015122140364482,158,33714.596017612166,1.2451612903225806,25.0,1.0,0.75,155.0,211.22468745211887,0.29352798957393933,1704.5477820967951,True
NORTHERN BLVD,4014,1657,1532.0,770,720.0,0.9245624622812312,201,73197.66052638274,3.5325077399380804,28.312693498452013,1.0,0.75,323.0,2661.799946468744,0.04025489517275013,1577.479978411278,True
BRUCKNER BLVD,3732,1564,1498.0,752,661.0,0.9578005115089514,159,92201.27611714519,2.014925373134328,29.208955223880597,1.0,0.75,335.0,741.0512259040565,0.10648597615376856,1417.395570891995,True
BRUCKNER EXPY,2637,1559,1310.0,761,679.0,0.8402822322001283,106,115846.99197693753,2.340175953079179,40.117302052785924,1.0,0.75,341.0,1420.5336667699514,0.03979781009242843,1314.3989978789302,True
NOSTRAND AVE,2609,1381,1349.0,532,494.0,0.9768283852280956,129,47084.361405342155,2.34375,25.0,1.0,0.75,128.0,699.1078697818383,0.09296349338109679,1288.583757254037,True
BEDFORD AVE,2357,1376,1346.0,581,541.0,0.9781976744186046,176,61927.27546609793,2.022727272727273,25.0,1.0,0.75,176.0,796.9663388209536,0.10926103022887595,1286.0120165492458,True
