corridor,canonical,expected_class,crashes,casualty_crashes,injured,killed,pedestrians_injured,pedestrians_killed,crashes_other_tools_drop,share_other_tools_drop,recovered,unrecoverable,with_coordinates,cells
Belt Pkwy,BELT PKWY,highway,13063,5133,8416,56,25,14,12755,0.9764,11482,1273,11709,326
Long Island Expy,LONG ISLAND EXPY,highway,8500,3103,4920,27,24,8,8266,0.9725,7753,513,7973,221
Broadway,BROADWAY,surface,10018,3861,4692,22,1061,14,2888,0.2883,2700,188,9674,514
Brooklyn Queens Expy,BROOKLYN QUEENS EXPY,highway,9004,3238,5124,19,15,3,8741,0.9708,7579,1162,7829,206
Grand Central Pkwy,GRAND CENTRAL PKWY,highway,8526,3198,5046,23,50,11,7809,0.9159,6833,976,7478,319
Atlantic Ave,ATLANTIC AVE,surface,7705,2775,3795,23,500,9,2018,0.2619,1846,172,7404,242
FDR Drive,FDR DR,highway,6800,2306,3543,22,34,9,6496,0.9553,5835,661,6131,170
Major Deegan Expy,MAJOR DEEGAN EXPY,highway,6006,2313,3799,30,24,10,5646,0.9401,4827,819,5164,133
Cross Bronx Expy,CROSS BRONX EXPY,highway,6322,2093,3523,20,46,4,5571,0.8812,4867,704,5447,165
Van Wyck Expy,VAN WYCK EXPY,highway,6224,2246,3566,12,58,4,5650,0.9078,4666,984,5179,153
Linden Boulevard,LINDEN BLVD,surface,5253,2190,3173,14,327,9,1179,0.2244,940,239,4922,255
Flatbush Ave,FLATBUSH AVE,surface,5487,2179,3023,20,505,8,1244,0.2267,943,301,5053,165
